Charm++> Running on Gemini (GNI) with 66 processes
Charm++> static SMSG
Charm++> SMSG memory: 325.9KB
Charm++> memory pool init block size: 8MB, total memory pool limit 0MB (0 means no limit)
Charm++> memory pool registered memory limit: 200000MB, send limit: 100000MB
Charm++> only comm thread send/recv messages
Charm++> Cray TLB page size: 2048K
Charm++> Running in SMP mode: numNodes 66,  15 worker threads per process
Charm++> The comm. thread both sends and receives messages
Charm++> Using recursive bisection (scheme 3) for topology aware partitions
Charm++> TORUS A SIZE 11 USING 8 9 10
Charm++> TORUS B SIZE 6 USING 0 1 2 3 4 5
Charm++> TORUS C SIZE 8 USING 0 1 2 3 4 5 6 7
Charm++> TORUS MINIMAL MESH SIZE IS 3 BY 6 BY 8
Redirecting stdout to files output_000/0/job0.0.log through 32
EXCHANGE_ACCEPT 4 (4) 5 (5) RUN 0
EXCHANGE_ACCEPT 0 (0) 1 (1) RUN 0
EXCHANGE_ACCEPT 20 (20) 21 (21) RUN 0
EXCHANGE_ACCEPT 21 (20) 22 (22) RUN 1
EXCHANGE_ACCEPT 30 (30) 31 (31) RUN 2
EXCHANGE_ACCEPT 31 (30) 32 (32) RUN 3
EXCHANGE_ACCEPT 25 (25) 26 (26) RUN 3
EXCHANGE_ACCEPT 21 (22) 22 (20) RUN 3
EXCHANGE_ACCEPT 7 (7) 8 (8) RUN 3
EXCHANGE_ACCEPT 15 (15) 16 (16) RUN 3
EXCHANGE_ACCEPT 0 (1) 1 (0) RUN 4
EXCHANGE_ACCEPT 9 (9) 10 (10) RUN 5
EXCHANGE_ACCEPT 13 (13) 14 (14) RUN 5
EXCHANGE_ACCEPT 0 (0) 1 (1) RUN 6
EXCHANGE_ACCEPT 20 (21) 21 (20) RUN 6
EXCHANGE_ACCEPT 31 (32) 32 (30) RUN 7
EXCHANGE_ACCEPT 9 (10) 10 (9) RUN 7
EXCHANGE_ACCEPT 19 (19) 20 (20) RUN 7
EXCHANGE_ACCEPT 0 (1) 1 (0) RUN 8
EXCHANGE_ACCEPT 30 (31) 31 (30) RUN 8
EXCHANGE_ACCEPT 31 (31) 32 (32) RUN 9
EXCHANGE_ACCEPT 1 (1) 2 (2) RUN 9
EXCHANGE_ACCEPT 25 (26) 26 (25) RUN 9
EXCHANGE_ACCEPT 5 (4) 6 (6) RUN 9
EXCHANGE_ACCEPT 19 (20) 20 (19) RUN 9
EXCHANGE_ACCEPT 4 (5) 5 (6) RUN 10
EXCHANGE_ACCEPT 10 (10) 11 (11) RUN 10
EXCHANGE_ACCEPT 20 (20) 21 (21) RUN 10
EXCHANGE_ACCEPT 31 (32) 32 (31) RUN 11
EXCHANGE_ACCEPT 25 (25) 26 (26) RUN 11
EXCHANGE_ACCEPT 19 (19) 20 (21) RUN 11
EXCHANGE_ACCEPT 20 (19) 21 (20) RUN 12
EXCHANGE_ACCEPT 0 (0) 1 (2) RUN 14
EXCHANGE_ACCEPT 20 (20) 21 (19) RUN 14
EXCHANGE_ACCEPT 31 (31) 32 (32) RUN 15
EXCHANGE_ACCEPT 26 (25) 27 (27) RUN 16
EXCHANGE_ACCEPT 10 (11) 11 (10) RUN 16
EXCHANGE_ACCEPT 21 (20) 22 (22) RUN 17
EXCHANGE_ACCEPT 0 (2) 1 (0) RUN 18
EXCHANGE_ACCEPT 26 (27) 27 (25) RUN 18
EXCHANGE_ACCEPT 10 (10) 11 (11) RUN 18
EXCHANGE_ACCEPT 27 (27) 28 (28) RUN 19
EXCHANGE_ACCEPT 21 (22) 22 (20) RUN 19
EXCHANGE_ACCEPT 17 (17) 18 (18) RUN 19
EXCHANGE_ACCEPT 15 (16) 16 (15) RUN 19
EXCHANGE_ACCEPT 0 (0) 1 (2) RUN 20
EXCHANGE_ACCEPT 3 (3) 4 (6) RUN 21
EXCHANGE_ACCEPT 31 (32) 32 (31) RUN 21
EXCHANGE_ACCEPT 21 (20) 22 (22) RUN 21
EXCHANGE_ACCEPT 19 (21) 20 (19) RUN 21
EXCHANGE_ACCEPT 0 (2) 1 (0) RUN 22
EXCHANGE_ACCEPT 20 (21) 21 (22) RUN 22
EXCHANGE_ACCEPT 3 (6) 4 (3) RUN 23
EXCHANGE_ACCEPT 27 (28) 28 (27) RUN 23
EXCHANGE_ACCEPT 0 (0) 1 (2) RUN 24
EXCHANGE_ACCEPT 31 (31) 32 (32) RUN 25
EXCHANGE_ACCEPT 19 (19) 20 (22) RUN 25
EXCHANGE_ACCEPT 2 (1) 3 (3) RUN 26
EXCHANGE_ACCEPT 4 (6) 5 (5) RUN 26
EXCHANGE_ACCEPT 18 (17) 19 (22) RUN 26
EXCHANGE_ACCEPT 31 (32) 32 (31) RUN 27
EXCHANGE_ACCEPT 19 (17) 20 (19) RUN 27
EXCHANGE_ACCEPT 16 (16) 17 (18) RUN 28
EXCHANGE_ACCEPT 31 (31) 32 (32) RUN 29
EXCHANGE_ACCEPT 25 (26) 26 (25) RUN 29
EXCHANGE_ACCEPT 23 (23) 24 (24) RUN 29
EXCHANGE_ACCEPT 21 (21) 22 (20) RUN 29
EXCHANGE_ACCEPT 0 (2) 1 (0) RUN 30
EXCHANGE_ACCEPT 20 (17) 21 (20) RUN 30
EXCHANGE_ACCEPT 31 (32) 32 (31) RUN 31
EXCHANGE_ACCEPT 29 (29) 30 (30) RUN 31
EXCHANGE_ACCEPT 23 (24) 24 (23) RUN 31
EXCHANGE_ACCEPT 19 (19) 20 (20) RUN 31
EXCHANGE_ACCEPT 13 (14) 14 (13) RUN 31
EXCHANGE_ACCEPT 0 (0) 1 (2) RUN 32
EXCHANGE_ACCEPT 31 (31) 32 (32) RUN 33
EXCHANGE_ACCEPT 21 (17) 22 (21) RUN 33
EXCHANGE_ACCEPT 0 (2) 1 (0) RUN 34
EXCHANGE_ACCEPT 20 (19) 21 (21) RUN 34
EXCHANGE_ACCEPT 22 (17) 23 (23) RUN 34
EXCHANGE_ACCEPT 25 (25) 26 (26) RUN 35
EXCHANGE_ACCEPT 9 (9) 10 (11) RUN 35
EXCHANGE_ACCEPT 0 (0) 1 (2) RUN 36
EXCHANGE_ACCEPT 20 (21) 21 (19) RUN 36
EXCHANGE_ACCEPT 31 (32) 32 (31) RUN 37
EXCHANGE_ACCEPT 5 (6) 6 (4) RUN 37
EXCHANGE_ACCEPT 19 (20) 20 (19) RUN 37
EXCHANGE_ACCEPT 0 (2) 1 (0) RUN 38
EXCHANGE_ACCEPT 2 (3) 3 (1) RUN 38
EXCHANGE_ACCEPT 18 (22) 19 (19) RUN 38
EXCHANGE_ACCEPT 16 (18) 17 (16) RUN 38
EXCHANGE_ACCEPT 21 (21) 22 (23) RUN 39
EXCHANGE_ACCEPT 19 (22) 20 (20) RUN 39
EXCHANGE_ACCEPT 29 (30) 30 (29) RUN 41
EXCHANGE_ACCEPT 25 (26) 26 (25) RUN 41
EXCHANGE_ACCEPT 21 (23) 22 (21) RUN 41
EXCHANGE_ACCEPT 0 (0) 1 (2) RUN 42
EXCHANGE_ACCEPT 6 (6) 7 (8) RUN 42
EXCHANGE_ACCEPT 20 (22) 21 (21) RUN 42
EXCHANGE_ACCEPT 27 (27) 28 (28) RUN 43
EXCHANGE_ACCEPT 21 (22) 22 (23) RUN 43
EXCHANGE_ACCEPT 2 (1) 3 (3) RUN 44
EXCHANGE_ACCEPT 10 (9) 11 (10) RUN 44
EXCHANGE_ACCEPT 31 (31) 32 (32) RUN 45
EXCHANGE_ACCEPT 1 (0) 2 (3) RUN 45
EXCHANGE_ACCEPT 21 (23) 22 (22) RUN 45
EXCHANGE_ACCEPT 30 (30) 31 (32) RUN 46
EXCHANGE_ACCEPT 21 (22) 22 (23) RUN 47
EXCHANGE_ACCEPT 9 (11) 10 (10) RUN 47
EXCHANGE_ACCEPT 20 (21) 21 (23) RUN 48
EXCHANGE_ACCEPT 31 (30) 32 (31) RUN 49
EXCHANGE_ACCEPT 5 (4) 6 (8) RUN 49
EXCHANGE_ACCEPT 19 (20) 20 (23) RUN 49
